[2025-05-06 09:54:50] DatumHervorhebung Plugin wurde aktiviert
[2025-05-06 09:54:51] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:54:54] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:54:54] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:54:59] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:54:59] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:54:59] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:55:00] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:55:16] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:55:17] DatumHervorhebung Plugin init() wurde aufgerufen
[2025-05-06 09:55:17] DatumHervorhebung Plugin init() wurde aufgerufen
